Temperature,Relative_Humidity,Condition
27.4,80.18,5
27.4,82.43,5
27.7,83.5,5
28.9,77.88,5
27.1,84.27,5
26.7,83.13,5
26.9,83.01,5
26.3,87.71,5
27.7,81.02,5
25.6,86.19,5
27.4,80.61,5
27.6,76.81,5
28.2,75.34,5
28.2,75.71,5
28.4,78.94,5
28.8,74.73,5
27.6,81.09,5
28.7,75.85,2
27.4,78.75,5
27.8,77.81,5
28.2,76.13,2
27,80.39,5
26,85.83,5
27.2,81,5
27.3,82.23,5
27.8,81.92,5
28.1,82.68,5
26.9,82.72,5
26.6,82.81,5
25.3,86.76,5
27.9,74.95,5
28.8,74.5,2
27,80.44,5
28.2,74.59,2
26.8,79.36,4
25.4,82.57,2
27.4,78.63,2
28.4,76.72,2
27.2,78.48,5
28.8,73.91,2
27.8,79.56,5
28.5,75.33,5
27.9,78.1,5
28.9,74.01,5
29.2,72.58,5
29.2,69.97,2
28.9,71.64,5
29,74.36,5
29.3,73.11,5
29.3,73.75,5
28.3,77.97,2
29.5,71.35,5
28.6,77.55,5
28.3,78.21,5
30.2,69.56,5
29.2,72.05,2
27.3,80.75,5
28.2,78.64,5
28,79.83,5
29.2,75.69,2
28.8,75.22,5
29.3,74.6,2
29.3,71.25,2
29.4,71.18,5
30.7,64.15,2
29.5,72.51,2
30.6,69.25,2
30,69.25,2
28.8,74.46,5
29.3,69.16,2
29.2,69.52,5
28.6,69.91,2
29.7,71.43,2
29,74.1,5
28.4,74.48,2
28.1,78.4,5
29.6,69.07,5
28.6,71.69,5
28.9,71.2,5
29.1,72.33,2
29,75.13,5
27.3,82.54,4
28.5,75.33,5
29.2,69.83,2
29.3,74.25,2
26.9,84.43,5
27.8,82.26,5
28.8,78.95,5
27.6,86.01,5
27.4,82.96,5
27.9,80.96,5
27.4,82.26,5
27.5,81.47,5
28.6,78.97,2
28.7,77.82,2
28.3,77.68,5
28.3,71.54,2
27.8,68.59,2
27.1,70.3,0
28.8,70.09,2
27.8,71.38,2
28.4,63.57,2
27.7,69.63,2
28.7,72.06,2
27.5,83.18,5
28.8,73.3,2
28.1,71.75,0
27.1,72.64,2
28.2,63.41,2
27.4,73.66,2
27.5,76.26,5
28.3,67.17,2
28.2,68.69,2
28,72.25,5
28.9,73.1,2
28.6,75.05,2
28.7,72.69,2
28.4,68.63,2
28.9,68.49,2
28.3,67.71,2
27.8,58.77,0
27.1,69.5,0
26.6,72.94,0
27.8,74.88,5
28.4,69.21,5
26,71.4,0
26.4,70.97,0
27.3,72.86,0
27.8,72.79,0
28.2,75.33,5
27.9,77.81,5
28.1,74.75,2
27.4,77.01,2
27.8,77.38,2
28.6,71.01,0
28.2,73.22,0
26.3,75.7,0
26.2,76.34,2
27.2,72.24,2
27,65.71,0
25.6,75.04,2
25.2,73.02,2
26.9,68.92,0
25.5,69.71,0
26.7,66,0
26.4,70.04,2
26.5,70.23,2
26.4,69.17,0
26.7,68.52,0
27.6,67.74,2
26.9,65.47,0
26.7,65.28,0
27.7,69.26,2
28.4,67.01,2
26.6,66.72,0
25.6,69.88,0
27.1,64.58,0
27.3,65,0
26.6,64.27,0
26.1,61.29,2
25.8,66.25,0
25.6,69.44,2
27.3,65.76,0
27.7,64.38,0
26.8,68.78,2
27.3,70.48,2
27.8,72.12,2
27.1,73.84,2
27,71.8,2
28,65.66,0
27.2,67.56,2
24.5,71.9,0
26.1,65.74,0
27,66.78,0
26,67.93,2
26.1,62.45,2
25.8,60.78,0
26.5,67.03,0
26.5,68.86,0
26.7,71.11,2
27.3,70.07,2
26.5,69.36,0
27.1,63.87,0
26.4,67.51,2
25.9,63.1,2
23.8,72.03,0
